"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
5.8765,-0.0030501690480266
5.878,-0.00305171328197485
5.8795,-0.00305325789199408
5.881,-0.00305480287805846
5.8825,-0.00305634824013635
5.884,-0.00305789397820095
5.8855,-0.00305944009222159
5.887,-0.00306098658216855
5.8885,-0.00306253344800925
5.89,-0.00306408068971591
5.8915,-0.00306562830725882
5.893,-0.00306717630060635
5.8945,-0.00306872466972977
5.896,-0.00307027341459647
5.8975,-0.00307182253518254
5.899,-0.00307337203144959
5.9005,-0.00307492190336985
5.902,-0.00307647215091362
5.9035,-0.00307802277405022
5.905,-0.00307957377274899
5.9065,-0.0030811251469783
5.908,-0.00308267689671037
5.9095,-0.00308422902190874
5.911,-0.00308578152254853
5.9125,-0.0030873343985933
5.914,-0.0030888876500143
5.9155,-0.00309044127678278
5.917,-0.0030919952788623
5.9185,-0.00309354965622701
5.92,-0.00309510440884046
5.9215,-0.00309665953667679
5.923,-0.00309821503969763
5.9245,-0.00309977091787616
5.926,-0.00310132717118075
5.9275,-0.00310288379957881
5.929,-0.00310444080303581
5.9305,-0.00310599818152204
5.932,-0.00310755593500491
5.9335,-0.00310911406345471
5.935,-0.00311067256683789
5.9365,-0.00311223144512088
5.938,-0.00311379069826915
5.9395,-0.00311535032625879
5.941,-0.00311691032904853
5.9425,-0.00311847070661154
5.944,-0.00312003145890945
5.9455,-0.00312159258591545
5.947,-0.00312315408759501
5.9485,-0.00312471596391264
5.95,-0.00312627821483863
5.9515,-0.00312784084033751
5.953,-0.00312940384037859
5.9545,-0.00313096721492832
5.956,-0.00313253096395121
5.9575,-0.00313409508741851
5.959,-0.00313565958528703
5.9605,-0.00313722445753766
5.962,-0.00313878970412432
5.9635,-0.00314035532501825
5.965,-0.00314192132018783
5.9665,-0.00314348768959467
5.968,-0.00314505443320907
5.9695,-0.00314662155099458
5.971,-0.00314818904291763
5.9725,-0.00314975690894466
5.974,-0.00315132514903922
5.9755,-0.00315289376317064
