"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6.291,-0.00349164222045805
6.292,-0.00349273851152165
6.293,-0.00349383494775315
6.294,-0.00349493152920084
6.295,-0.0034960282559217
6.296,-0.00349712512796594
6.297,-0.00349822214538185
6.298,-0.00349931930822545
6.299,-0.00350041661654791
6.3,-0.0035015140703985
6.301,-0.00350261166983032
6.302,-0.00350370941489747
6.303,-0.00350480730564918
6.304,-0.00350590534213666
6.305,-0.00350700352441397
6.306,-0.00350810185253037
6.307,-0.00350920032653706
6.308,-0.00351029894648907
6.309,-0.00351139771243565
6.31,-0.003512496624428
6.311,-0.0035135956825202
6.312,-0.00351469488676246
6.313,-0.00351579423720501
6.314,-0.00351689373390095
6.315,-0.00351799337689956
6.316,-0.0035190931662549
6.317,-0.00352019310201719
6.318,-0.00352129318424053
6.319,-0.0035223934129703
6.32,-0.00352349378826444
6.321,-0.00352459431017029
6.322,-0.00352569497873998
6.323,-0.00352679579402664
6.324,-0.00352789675607856
6.325,-0.00352899786494886
6.326,-0.00353009912068967
6.327,-0.00353120052335123
6.328,-0.00353230207298569
6.329,-0.00353340376964037
6.33,-0.00353450561337225
6.331,-0.00353560760423058
6.332,-0.0035367097422627
6.333,-0.00353781202752364
6.334,-0.00353891446006556
6.335,-0.00354001703993482
6.336,-0.00354111976718839
6.337,-0.00354222264187457
6.338,-0.00354332566404358
6.339,-0.0035444288337466
6.34,-0.00354553215103483
6.341,-0.00354663561596041
6.342,-0.00354773922857356
6.343,-0.00354884298892547
6.344,-0.00354994689706541
6.345,-0.00355105095304744
6.346,-0.00355215515692179
6.347,-0.00355325950873675
6.348,-0.00355436400854544
6.349,-0.00355546865639712
6.35,-0.00355657345234587
6.351,-0.00355767839643612
6.352,-0.00355878348872677
6.353,-0.00355988872926419
6.354,-0.00356099411809861
6.355,-0.00356209965528313
6.356,-0.00356320534086509
6.357,-0.0035643111748976
6.358,-0.00356541715743281
6.359,-0.00356652328851998
6.36,-0.00356762956820645
6.361,-0.00356873599654821
6.362,-0.0035698425735926
6.363,-0.00357094929939081
6.364,-0.00357205617399402
6.365,-0.00357316319745343
6.366,-0.00357427036981828
6.367,-0.00357537769113783
6.368,-0.00357648516146617
6.369,-0.0035775927808516
6.37,-0.00357870054934336
6.371,-0.00357980846699362
6.372,-0.00358091653385451
6.373,-0.00358202474997338
6.374,-0.00358313311540141
6.375,-0.00358424163018978
6.376,-0.00358535029438873
6.377,-0.00358645910804846
6.378,-0.00358756807121728
6.379,-0.00358867718395121
6.38,-0.00358978644629176
6.381,-0.00359089585829787
6.382,-0.00359200542001395
6.383,-0.00359311513149312
6.384,-0.00359422499278562
6.385,-0.00359533500394069
6.386,-0.00359644516500856
6.387,-0.00359755547603946
6.388,-0.0035986659370836
6.389,-0.00359977654818832
6.39,-0.00360088730941253
6.391,-0.00360199822079679
6.392,-0.00360310928239519
6.393,-0.00360422049425892
6.394,-0.00360533185643338
6.395,-0.00360644336897361
6.396,-0.00360755503192695
6.397,-0.00360866684534458
6.398,-0.00360977880927577
6.399,-0.00361089092377073
6.4,-0.00361200318888066
6.401,-0.00361311560465191
6.402,-0.00361422817113955
6.403,-0.00361534088838799
6.404,-0.0036164537564523
6.405,-0.00361756677537593
6.406,-0.00361867994521684
6.407,-0.00361979326601753
6.408,-0.00362090673783014
6.409,-0.00362202036070974
6.41,-0.00362313413469786
6.411,-0.00362424805984858
6.412,-0.0036253621362102
6.413,-0.00362647636383584
6.414,-0.00362759074276993
6.415,-0.00362870527306655
6.416,-0.00362981995477111
6.417,-0.0036309347879377
6.418,-0.00363204977261363
6.419,-0.00363316490884817
6.42,-0.00363428019669154
6.421,-0.00363539563619494
6.422,-0.00363651122740279
6.423,-0.00363762697037015
6.424,-0.00363874286514532
6.425,-0.00363985891177658
6.426,-0.00364097511031416
6.427,-0.00364209146080636
6.428,-0.00364320796330437
6.429,-0.00364432461785744
6.43,-0.00364544142451194
6.431,-0.00364655838332099
6.432,-0.00364767549433193
6.433,-0.0036487927575969
6.434,-0.00364991017316131
6.435,-0.00365102774107634
6.436,-0.00365214546139223
6.437,-0.00365326333415726
6.438,-0.0036543813594178
6.439,-0.00365549953722891
6.44,-0.00365661786763791
6.441,-0.00365773635069406
6.442,-0.00365885498644469
6.443,-0.00365997377493811
6.444,-0.00366109271622742
6.445,-0.00366221181035803
6.446,-0.00366333105737921
6.447,-0.00366445045734695
6.448,-0.00366557001030282
6.449,-0.00366668971629702
6.45,-0.0036678095753798
6.451,-0.00366892958760233
6.452,-0.00367004975301002
6.453,-0.00367117007165503
6.454,-0.00367229054358372
6.455,-0.00367341116884631
6.456,-0.00367453194748918
6.457,-0.00367565287956833
6.458,-0.00367677396512532
6.459,-0.00367789520421229
6.46,-0.00367901659687851
6.461,-0.00368013814317227
6.462,-0.00368125984314187
6.463,-0.00368238169683753
6.464,-0.00368350370430562
6.465,-0.00368462586559638
6.466,-0.00368574818076098
6.467,-0.0036868706498429
6.468,-0.0036879932728972
6.469,-0.00368911604996733
6.47,-0.0036902389811074
6.471,-0.00369136206635797
6.472,-0.00369248530577603
6.473,-0.00369360869940601
6.474,-0.00369473224730008
6.475,-0.00369585594950362
6.476,-0.00369697980606302
6.477,-0.00369810381703042
6.478,-0.00369922798245798
6.479,-0.00370035230238629
6.48,-0.00370147677687038
6.481,-0.00370260140595567
6.482,-0.00370372618969044
6.483,-0.00370485112812494
6.484,-0.00370597622130648
6.485,-0.00370710146928529
6.486,-0.00370822687210872
6.487,-0.00370935242982215
6.488,-0.00371047814248258
6.489,-0.00371160401012768
6.49,-0.00371273003281347
6.491,-0.00371385621058633
6.492,-0.0037149825434926
6.493,-0.00371610903158543
6.494,-0.00371723567490731
6.495,-0.0037183624735104
6.496,-0.00371948942744204
6.497,-0.00372061653675052
6.498,-0.00372174380148414
6.499,-0.00372287122169217
6.5,-0.00372399879742193
6.501,-0.00372512652871786
6.502,-0.00372625441563791
6.503,-0.00372738245821977
6.504,-0.00372851065651752
6.505,-0.00372963901057849
6.506,-0.00373076752045099
6.507,-0.00373189618618137
6.508,-0.00373302500781987
6.509,-0.00373415398541382
6.51,-0.00373528311901152
6.511,-0.0037364124086603
6.512,-0.00373754185440846
6.513,-0.00373867145630334
6.514,-0.00373980121439708
6.515,-0.0037409311287322
6.516,-0.0037420611993599
6.517,-0.0037431914263275
6.518,-0.0037443218096804
6.519,-0.00374545234947271
6.52,-0.00374658304574692
6.521,-0.00374771389855422
6.522,-0.003748844907941
6.523,-0.00374997607395264
6.524,-0.00375110739664035
6.525,-0.00375223887605435
6.526,-0.00375337051223619
6.527,-0.00375450230523802
6.528,-0.00375563425510621
6.529,-0.0037567663618881
6.53,-0.00375789862563488
6.531,-0.00375903104639002
6.532,-0.00376016362420376
6.533,-0.00376129635912439
6.534,-0.00376242925119442
6.535,-0.0037635623004689
6.536,-0.00376469550699325
6.537,-0.00376582887080899
6.538,-0.00376696239197312
6.539,-0.00376809607052911
6.54,-0.00376922990652237
6.541,-0.00377036390000505
